variable_name,label,questionnaire,source_file,category,type
ST013Q01TA,How many books are there in your home?,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST019AQ01T,In what country were you and your parents born? You,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST019BQ01T,In what country were you and your parents born? Mother,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST019CQ01T,In what country were you and your parents born? Father,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST021Q01TA,How old were you when you arrived in <country of test>?,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST125Q01NA,How old were you when you started <ISCED 0>? Years,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST126Q01TA,How old were you when you started <ISCED 1>? Years,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST127Q01TA,Have you ever repeated a <grade>? At <ISCED 1>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST127Q02TA,Have you ever repeated a <grade>? At <ISCED 2>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST127Q03TA,Have you ever repeated a <grade>? At <ISCED 3>,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST022Q01TA,What language do you speak at home most of the time?,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST023Q01TA,Which language do you usually speak with: My mother,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST023Q02TA,Which language do you usually speak with: My father,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST023Q03TA,Which language do you usually speak with: My brother(s) and/or sister(s),Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST023Q04TA,Which language do you usually speak with: My best friend,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST023Q05TA,Which language do you usually speak with: My schoolmates,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST097Q01TA,How often during <test language lessons>: Students don't listen to what the teacher says.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST097Q02TA,How often during <test language lessons>: There is noise and disorder.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST097Q03TA,How often during <test language lessons>: The teacher waits long for students to quiet down.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST097Q04TA,How often during <test language lessons>: Students cannot work well.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST097Q05TA,How often during <test language lessons>: Students don't start working for a long time after the lesson begins.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST100Q01TA,How often during <test language lessons>: The teacher shows aninterest in every student's learning.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST100Q02TA,How often during <test language lessons>: The teacher gives extra help when students need it.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST100Q03TA,How often during <test language lessons>: The teacher helps students with their learning.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST100Q04TA,How often during <test language lessons>: The teacher continues teaching until the students understands.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST102Q01TA,How often during <test language lessons>: The teacher sets clear goals for our learning.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST102Q02TA,How often during <test language lessons>: The teacher asks questions to check whether we have understood what was taught,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST102Q03TA,How often during <test language lessons>: [...] the teacher presents a short summary of the previous lesson.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST102Q04TA,How often during <test language lessons>: The teacher tells us what we have to learn.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST211Q01HA,Thinking of past two <test language lessons>: The teacher made me feel confident in my ability to do well in the course.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST211Q02HA,Thinking of past two <test language lessons>: The teacher listened to my view on how to do things.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST211Q03HA,Thinking of past two <test language lessons>: I felt that my teacher understood me.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST212Q01HA,How often in <test language lessons>: The teacher adapts the lesson to my classs needs and knowledge.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST212Q02HA,How often in <test language lessons>: The teacher provides individual help when a student has difficulties [...],Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST212Q03HA,How often in <test language lessons>: The teacher changes the structure of the lesson on a topic that most [...],Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST104Q02NA,How often during <test language lessons>: The teacher gives me feedback on my strengths in this subject.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST104Q03NA,How often during <test language lessons>: The teacher tells me in which areas I can still improve.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST104Q04NA,How often during <test language lessons>: The teacher tells me how I can improve my performance.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST213Q01HA,Thinking of past two <test language lessons>: It was clear to me that the teacher liked teaching us.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST213Q02HA,Thinking of past two <test language lessons>: The enthusiasm of the teacher inspired me.,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
