CNT,academic,pct_multi,pct_severe,mean_hardship,escs_mean,pct_bullied,pct_low_belong,pct_no_quiet,pct_no_desk,pct_skip,pct_threatened,n_students,oecd,name
ALB,419.7925383399523,15.513919809378516,5.291843474820775,1.219756661423133,-0.8723896094793623,39.891110385241824,13.905472045926409,7.6351844320703774,7.906577148215339,39.33092250506425,13.306399625795088,6359.0,False,Albania
ARE,433.4552746546365,27.896029571297753,12.990261125919355,1.6696341835371415,0.2768208199149823,46.82785649469478,27.857755070483442,13.503033644532309,13.26416873611447,42.05105238155681,23.459552026332346,19277.0,False,UAE
ARG,395.0094567439793,26.157936001581263,12.176297533276989,1.7226447821317366,-0.9529741219881409,33.45192300831347,22.585463055911998,22.028972203889808,35.942591111605864,45.159782920497406,13.095745912955103,11975.0,False,Argentina
AUS,498.98543751591194,22.385205884119802,8.661451330606111,1.4237245776120946,0.3151181414973079,44.45137243423017,25.82621221193733,10.99527909003411,9.412648107368012,31.78134200885008,19.90560390878976,14273.0,True,Australia
AUT,491.0384406143327,10.297051358841344,2.9133839828547528,0.9626649329833346,0.014223607370738776,34.98669248507088,17.64225804555321,3.8651236996294456,4.453162069378262,24.573801689529574,10.7454553091721,6802.0,True,Austria
BEL,499.9026240665107,8.096316352589609,2.3461591900040033,0.8657516492793141,0.07122872405559373,35.735250512584535,15.417657260824694,5.92535687038956,4.432969630760467,14.977040978091626,10.086889675280542,8475.0,True,Belgium
BGR,426.65271994559566,27.15587310506933,12.92270567172385,1.6145221228599553,-0.2560740647288293,33.08009174493443,32.45491933447959,17.88789931694941,8.356975280190058,46.24385993657112,23.428466672870936,5294.0,False,Bulgaria
BIH,402.61996395814487,19.18207933055846,6.574355769894891,1.3101784268178651,-0.557072112761651,30.52200370035592,21.52690540138993,7.962035300622099,2.560878743064713,49.186690032584664,19.25932950376918,6480.0,False,Bosnia
BLR,472.30575733467145,13.182095413931783,3.6356831142034993,1.0806772014200587,-0.13002585688598559,32.45193759816361,22.60328034988433,2.769869166782691,0.5728849539446362,35.798973284338466,13.870774788892138,5803.0,False,Belarus
BRA,400.02112761022346,25.215455953688743,11.413675727248952,1.6510019457318987,-1.1028452670552822,29.480047099039712,24.812795832042276,19.703320574752308,35.03396537864661,42.46020177524999,13.609863913458975,10691.0,False,Brazil
BRN,423.05576096778975,28.8042205636442,11.911745956151004,1.756387542734612,-0.26451413954500896,53.25809260196331,37.29552888688528,26.450133436062025,13.963560471012611,16.826220230578574,27.845218646959403,6828.0,False,Brunei
CAN,516.7000415020403,20.873229473471547,7.570320792088091,1.4050847825759252,0.41775931645913417,43.37442428293669,26.56681063012837,8.528674902292902,11.433003522791783,34.68355862069934,15.922006298743435,22653.0,True,Canada
CHE,498.17346874668675,8.787059728258168,2.7803211421609717,0.7790717428778079,-0.012634213841122923,28.063902380324844,14.821697170320386,4.550892991756034,3.5371739818412475,17.174852240310614,9.758655523227674,5822.0,True,CHE
CHL,437.75389123773687,14.372085198869106,5.635560524697632,1.149378325050322,-0.5821698493879004,28.985419965386633,23.763172643036363,12.963907280655867,24.13917357262248,14.83755389376048,10.24860514957037,7621.0,True,Chile
COL,405.51678412992885,26.124222592163846,11.564137402230761,1.6765741371396066,-1.18646427485846,34.62862307438335,24.015114434483532,23.403669762275197,29.627556636149073,41.63013150257079,14.352318304098718,7522.0,True,Colombia
CRI,414.81708190838276,23.24825706599401,8.996637794267064,1.5375301275154754,-0.9608591530546833,35.36089707705965,20.72147149089885,15.569152486957702,16.34760806181249,49.166989425911304,16.58689420890754,7221.0,True,Costa Rica
CZE,495.49259219628334,12.123816966465816,3.7089405633917027,1.0496489207836703,-0.20939792496276785,39.43924987118119,26.5108769882063,9.317726865962369,2.1900030891764435,14.18061355648029,13.326421707360458,7019.0,True,Czech Rep.
DEU,500.43731313995227,5.159780865177564,1.2566867634969534,0.5760733719784557,-0.09678133540210719,20.221379026434747,12.769908164914309,4.165398812752877,3.891396813181241,11.309762714427478,5.249491666134915,5451.0,True,Germany
DNK,501.0551138758421,10.716399091218333,3.381167660157505,1.04003945390728,0.5164632212322271,41.72371019444532,13.991760533856581,4.884887642586401,8.090384477428515,26.398917125794153,8.914285416617027,7657.0,True,Denmark
DOM,334.1187046470846,14.867188229846775,7.499253285799659,1.2458870310116268,-1.0633661610541338,14.282587730638438,20.218406022555595,15.52318963884614,42.9685676176948,21.27569674092896,10.320255350498732,5674.0,False,Dom. Rep.
