country,oecd,n_students,perf_math,perf_read,perf_scie,perf,lifesat,belong,bullied,swbp,gfofail,escs_mean,z_lifesat,z_belong,z_bullied,z_swbp,z_gfofail,z_bullied_inv,z_gfofail_inv,wellbeing_composite,quadrant
ALB,0,6359,437.2219911613538,405.42936627838077,416.72625758012236,419.7925383399523,8.609414544010056,0.3966851635089027,-0.06033966904464764,0.5205169146776089,-0.24200651123207542,-0.8723896094793623,2.2247087472054927,2.381480430416459,-0.5895030908304708,1.9318084683462284,-0.9279423344982164,0.5895030908304708,0.9279423344982164,1.6110886142593734,lo_hi
ARE,0,19277,434.9472518653213,431.7817694311199,433.63680266746826,433.4552746546365,6.88393559074278,-0.09724645139957512,0.23802597924413282,0.04139535676239019,0.06737357914951927,0.2768208199149823,-0.5809342896549481,-0.05111331538657161,0.5812034564896569,-0.26038817465391445,0.43606738399702366,-0.5812034564896569,-0.43606738399702366,-0.38194132403642295,lo_lo
ARG,0,11975,379.45381660292884,401.5031088073165,404.0714448216925,395.0094567439793,7.2615479040280215,-0.11152626575939474,0.17239748692865609,0.07722236250714835,-0.10420981473184705,-0.9529741219881409,0.03306645222335245,-0.12144083857895127,0.3236949058735556,-0.09646350788635595,-0.3204176777854256,-0.3236949058735556,0.3204176777854256,-0.03762302446601695,lo_hi
AUT,1,6802,498.9423137995927,484.3925685119973,489.7804395314084,491.0384406143327,7.136769738820815,0.39768397646379067,-0.023609453395989556,0.1099802158966851,-0.2598095703504697,0.014223607370738776,-0.16982387553342557,2.3863995448726936,-0.4453836045860445,0.05341840630866444,-1.0064333118150934,0.4453836045860445,1.0064333118150934,0.744362198409814,hi_lo
BGR,0,5294,436.0405709973201,419.8440059642489,424.073582875218,426.65271994559566,7.154939629367424,-0.2960812895343767,0.19420273410071065,0.15958984824542785,-0.1332287777566162,-0.2560740647288293,-0.1402794833540377,-1.0303670604300015,0.4092528304425077,0.2804047894065199,-0.44835786791730464,-0.4092528304425077,0.44835786791730464,-0.1702273433805445,lo_lo
BIH,0,6480,406.38440791443304,402.9778212609031,398.4976626990984,402.61996395814487,7.8402411440164395,-0.03046685413648251,-0.06564943264443876,0.3544815305638258,-0.36969472644641926,-0.557072112761651,0.9740264425943373,0.2777735704620791,-0.6103371749371674,1.1721219010014927,-1.490900236135827,0.6103371749371674,1.490900236135827,0.9050318650261808,lo_hi
BLR,0,5803,471.8651442774108,473.7884469331523,471.26368079345156,472.30575733467145,8.103503311066198,-0.09678720854588761,-0.1647832309140432,0.17919102699067976,-0.13438990351800295,-0.13002585688598559,1.4020929017379482,-0.048851562423275326,-0.9993115336160542,0.37008899904876386,-0.453477094629577,0.9993115336160542,0.453477094629577,0.6352237933218137,hi_hi
BRA,0,10691,383.56912410618037,412.8733166852495,403.6209420392406,400.02112761022346,7.053890302198282,-0.18966020924311405,0.15090232942243786,0.06250096381749451,0.03640103643748791,-1.1028452670552822,-0.3045865243728212,-0.5062474322784483,0.23935368974316862,-0.16382052878132575,0.29951415843680185,-0.23935368974316862,-0.29951415843680185,-0.3027044667225131,lo_lo
BRN,0,6828,430.1129622673762,408.0699440193343,430.9843766166587,423.05576096778975,5.800618712533776,-0.43542088794952727,0.822998813991173,-0.010509295395864485,0.41466669749774004,-0.26451413954500896,-2.342416485833137,-1.716609093570981,2.876479509783648,-0.4978753057121051,1.9672298709211409,-2.876479509783648,-1.9672298709211409,-1.8801220531642024,lo_lo
CHE,1,5822,515.3147131261437,483.92940514533893,495.2762879685774,498.17346874668675,7.377800826815551,0.29679820139096114,0.0047519998537956035,0.21878507984643256,-0.2830291706302973,-0.012634213841122923,0.22209466535565336,1.8895410768677046,-0.3341008909041365,0.5512496008192869,-1.1088049944989895,0.3341008909041365,1.1088049944989895,0.8211582456891542,hi_hi
