CYCLE,CNT,CNTSCHID,N_STUDENTS_SAMPLED,SUM_W_FSTUWT,MEAN_MATH,MEAN_READ,MEAN_SCIE,SD_MATH,SD_READ,SD_SCIE
2022,ALB,800001.0,41,160.58086,392.0537096506209,373.5601058749841,413.35365404959845,80.58170441082117,69.97000890555017,76.0116602722008
2022,ALB,800002.0,36,133.71141,362.3057740694605,350.78575042921915,380.0479753879867,58.36601941532945,52.06842865840564,62.7208142256017
2022,ALB,800003.0,3,25.61079,321.8247,286.9551,326.19419999999997,30.579441748447046,35.398134960569095,48.397356802825485
2022,ALB,800004.0,39,192.24134999999998,327.82786227130634,337.6236811956793,335.14353136439695,56.377507805348934,52.71926277907652,47.9519385607129
2022,ALB,800005.0,5,45.69534,452.2958262204855,459.5607275505117,440.18174410942123,49.52722453373657,32.01971249337738,42.047067066559826
2022,ALB,800006.0,35,148.46144999999999,421.83368709232604,404.26883272223193,418.3717414374237,67.0545291283129,49.911633423440314,45.81654609629438
2022,ALB,800007.0,28,116.28119,360.08554517132137,376.21874492986353,376.30397703972585,44.48739009211226,48.85837815017812,53.01753133773605
2022,ALB,800008.0,27,94.93122,341.1803784502612,319.7490299043982,341.6338954425425,53.82082150184033,55.08227139921829,63.5610355929191
2022,ALB,800009.0,29,110.48357,328.8276282433488,317.234134198723,324.79286243117417,70.04064601127669,58.55628486389053,65.26788770742594
2022,ALB,800010.0,2,30.60368,420.3515,346.7088,385.30029999999994,27.292099999999976,6.769399999999962,37.945899999999966
2022,ALB,800011.0,4,30.81486,344.3254747356308,347.5203163561347,361.5948081760229,40.19554960545669,30.832884771994866,62.15989326168794
2022,ALB,800012.0,19,126.41365,380.1841937972442,347.0277441644553,379.4444757220047,76.52834826396749,66.04871866846706,82.51251036495967
2022,ALB,800013.0,9,85.38687,367.08427244729774,365.5025621258514,400.01763032511906,82.58174567615879,79.61878259155095,86.25307812119505
2022,ALB,800014.0,41,160.58099,356.68554321720774,352.3335599061134,369.02093200781735,77.10802088568597,65.65437379810238,69.04230516095707
2022,ALB,800015.0,6,48.422079999999994,340.2800010775663,340.8585844387933,365.2397754725117,27.898681809954894,58.36178377124156,41.49790420593897
2022,ALB,800016.0,27,93.62106,310.8751041913326,322.1912645076012,314.86507027835404,45.20549726323315,43.0032478582766,37.38261075196837
2022,ALB,800017.0,16,68.93881999999999,299.49610270961995,297.0588554348914,306.7027548803562,35.19723277416103,49.24272631903519,31.89575129080197
2022,ALB,800018.0,3,19.87712,340.81489271272704,340.63880678327644,366.35876301516515,36.237448693720246,16.121044778350413,32.58709817113802
2022,ALB,800019.0,43,148.46147,407.1430086576335,409.02141694991974,420.2566585362721,71.352054886606,60.98960004196083,67.29985628095433
2022,ALB,800020.0,35,142.8914,392.18917,372.11017421052634,377.3834457894737,89.91307227366414,76.03721108246533,84.4101067547692
2022,ALB,800021.0,10,72.85752,327.0904971054464,356.43546065887233,342.5331540489026,52.9080833059115,55.18489205286118,58.89597175304933
2022,ALB,800022.0,43,157.93263,370.02438338067947,352.77874270726073,373.3373683371448,58.1134588050468,60.62245721237687,51.36180913234376
2022,ALB,800023.0,21,71.03115,443.7110822988506,430.09302735632184,462.7406314942529,46.384868540700374,61.34140009536197,41.313684603673
2022,ALB,800024.0,42,135.86188,376.85908908796193,359.0086527221911,363.5545829760636,59.329814562831054,49.724842423572255,54.05660721084175
2022,ALB,800025.0,5,43.52612,317.1579513221946,322.05623869658035,292.8790335575971,54.920281950977426,23.66487485109151,28.682293323074685
2022,ALB,800026.0,22,85.6476,339.6987971868914,355.5580489039273,347.4973652153242,45.318989229655095,52.783107504815895,55.94479840089546
2022,ALB,800027.0,41,186.90995999999998,355.4722051166134,317.5289520406403,366.44764717910164,78.5400898657759,59.4373931767292,66.27680885590736
2022,ALB,800028.0,41,183.49073,352.9000778301988,348.5698430173175,360.83109828197854,63.86963909999778,61.16029243808062,66.5715124654086
2022,ALB,800029.0,24,89.07947,314.40648208423335,333.08580786750304,332.03371374972255,41.99572711986788,42.26715348737356,40.0331157639023
2022,ALB,800031.0,27,135.81621,307.4475259259259,294.41992592592595,317.4756407407407,46.23001740978829,43.58725438459167,44.04170037130433
2022,ALB,800032.0,13,96.1141,332.81446422365707,333.1556614891675,339.194458842095,55.05676361675087,52.274746293687244,37.36690362115262
2022,ALB,800033.0,8,81.84332,295.44095433549126,298.5960840745463,280.1691479719053,50.66749025197976,34.90293564977211,76.33284928823072
2022,ALB,800034.0,18,80.02047999999999,330.32287400389254,331.392630857538,333.92844413531384,62.68483702866746,40.600559915493626,49.19290854415325
2022,ALB,800035.0,5,40.170379999999994,342.67390907230657,376.0833528494876,378.0801170254302,69.61220586143354,30.147418604561906,45.85657987474733
2022,ALB,800036.0,29,117.52486,418.3117715460031,417.38420591489324,407.45149158214696,70.8877211521838,72.6526275762792,74.98753879708727
2022,ALB,800038.0,45,140.48586,359.1549625616272,354.8505696101017,384.0734769819681,56.45611672722481,54.95703123893974,55.53520639406541
2022,ALB,800039.0,28,93.23334,336.3640666804708,332.0085378811485,360.2076863398866,77.26729373660845,54.52845951615357,61.07065987072423
2022,ALB,800040.0,44,194.17376,353.52484772727274,338.77077045454547,359.85404318181816,76.59046180917369,67.71921648178328,56.82853355086684
2022,ALB,800041.0,2,17.070990000000002,310.31154337604323,280.1563057817971,346.4253598883837,1.9895565574010405,27.910701429565137,19.097641062426057
2022,ALB,800042.0,21,115.27241,438.43977214265755,419.99020942336506,450.33876261292704,68.82607713465035,69.58322509388026,63.265815477763994
2022,ALB,800043.0,4,25.22068,312.99035000000003,329.60557500000004,326.51644999999996,43.797997444888985,59.90944254641227,36.66069077298598
2022,ALB,800044.0,5,43.790800000000004,420.5615621993204,368.7550300106643,407.88406633703886,51.45995972481705,39.61151763614814,49.66445522483324
2022,ALB,800045.0,14,98.27979,344.4438668879634,348.18737913606657,369.1541520559517,59.825259670129036,53.25233566232553,66.93306368088001
2022,ALB,800046.0,5,52.12261,413.905683917958,404.15730149664415,412.07178640927617,47.59543832161882,46.24011429239939,39.94389225872476
2022,ALB,800047.0,38,146.61721,332.835239158459,331.7029196972102,356.52396376404243,52.34280761056258,56.70956472395688,49.62662928879416
2022,ALB,800048.0,27,98.5645,378.9851164754044,349.65117062110596,372.7548387727224,42.89867029538531,39.4170963589852,48.38006196446471
2022,ALB,800049.0,12,123.38928,407.9949876342094,402.5103150703368,411.53118452949883,62.420448839174455,62.93912819174043,68.04530593929114
2022,ALB,800050.0,42,306.22353999999996,450.9371527850374,427.2237000079256,449.5192497837822,87.46750309755159,71.70334382320044,77.01197980855181
2022,ALB,800051.0,42,139.16061,369.06715524347015,360.0568584168897,374.0292354641734,65.72579035314148,57.13631472480158,62.907412411610764
2022,ALB,800052.0,3,25.136340000000004,304.964,315.8000666666667,345.47999999999996,60.12915239515688,45.88428898321906,57.41758467978254
2022,ALB,800053.0,3,22.39213,381.3950767168197,367.81917192683323,399.86206220493534,11.520392117578272,48.676693319328116,8.185348609566194
2022,ALB,800054.0,40,262.94121,348.2087609603112,353.91919033558105,371.7408859974668,63.14558111540137,61.33724504672752,61.84289476299941
2022,ALB,800055.0,21,77.24416000000001,410.9066290355801,407.80011953987196,425.2722951103617,71.68344886775385,57.57818077584919,62.19212469373727
2022,ALB,800056.0,44,135.36033,296.11753745992644,300.8120883629716,312.69032828304273,40.19454073395162,38.72482397035038,38.66975521760414
2022,ALB,800057.0,41,125.50407,410.77987869939994,403.3634570623088,428.26339717050615,71.56843396152405,67.0287356210631,72.85995016173912
2022,ALB,800058.0,4,42.11734,471.8256124756691,478.64225683416856,498.07382131264694,63.50940242252695,18.74329116054863,49.52730715639442
2022,ALB,800059.0,43,160.58083,364.1159241644473,351.61652712284524,373.3737649617579,83.1863522015676,65.40617415835072,69.21494977184838
2022,ALB,800060.0,39,138.36849,300.4731307692307,289.43851538461536,301.1022692307692,50.1800886311782,43.47737924464675,38.669763932263685
2022,ALB,800061.0,43,244.10602,458.84293379088314,438.93248167658464,455.5149925709288,84.77779030821189,60.248570888279176,79.2958406476173
2022,ALB,800062.0,16,121.08621,354.9443551918505,356.29163093267186,372.620937350785,73.97255769824297,78.09093034409538,76.1347366504779
2022,ALB,800063.0,44,160.58082,401.8612596579592,386.99388626353385,415.7853568410038,69.66616099222956,58.5748806497445,64.38968139534309
2022,ALB,800064.0,34,142.89139,360.7786541710596,355.5549764018252,363.19593290107264,64.32293127514251,63.08043142876774,60.78221615228725
2022,ALB,800065.0,40,175.99993,347.45847958675324,355.0618671412483,370.7605142806193,70.48826133069123,63.19522862540433,66.92744288486881
2022,ALB,800066.0,25,106.16075000000001,454.295128,385.32037599999995,420.56157599999995,75.01832235066054,61.324787662558,72.46949513561289
2022,ALB,800067.0,1,14.84433,311.3995,295.3591,308.22439999999995,0.0,0.0,0.0
2022,ALB,800068.0,6,62.70975,318.56221946333704,332.38588343598883,334.0715562707394,64.64850476124417,32.66129419838429,86.20893059815828
2022,ALB,800069.0,38,150.05357,332.2772180722391,316.3750825645601,335.5638981432231,53.195544103552464,42.00689386981298,41.27796124245932
2022,ALB,800070.0,13,90.60873,352.8664765198453,324.8707505489372,365.1634420561462,57.937233000268094,54.45486997491787,53.58718048928202
2022,ALB,800071.0,39,168.46050000000002,387.5691656808925,371.60004769822,389.1668906095791,74.99498964220456,57.03352299002629,66.45433165425675
2022,ALB,800072.0,16,111.55516,331.0002346891439,337.1070863318649,338.78707779164137,51.67430043603616,54.50166287803568,70.73764922946808
2022,ALB,800073.0,17,179.22359,380.253053009495,394.19364144416477,407.48278944830867,83.58596812957892,69.32744438975469,67.07139613197843
2022,ALB,800074.0,20,105.82692,388.44128268955575,389.91241963321806,399.775962123248,83.34500582865317,88.31499510347116,82.5147016083328
2022,ALB,800075.0,10,86.38576,358.08100286735913,343.9924471450271,388.9579789632805,88.09620110943445,76.67454939680704,77.67661363539878
2022,ALB,800077.0,24,87.67518,374.6173689739787,364.32216116052456,361.2824827212103,66.15399191118694,69.018317556456,75.89263634772307
2022,ALB,800078.0,10,71.97053,365.7581850052376,344.9257105393416,373.04852468493704,64.0419148724451,54.60244295556258,78.4858393291453
2022,ALB,800079.0,2,15.05843,463.5157798987013,421.72299391742695,429.2383089988133,46.99532406145499,52.849625322048496,58.47417079907355
2022,ALB,800080.0,18,69.17936,339.14559633416667,321.6418303662537,347.46046199776924,47.29745040088827,45.60087428904251,51.04781466638367
2022,ALB,800081.0,29,100.16647,354.9088268239462,362.8771060393962,369.0110084552945,52.17898812447587,54.4621704936069,54.61918474159284
2022,ALB,800082.0,12,57.76652,381.179398237924,387.6182361987879,394.2772393503884,71.88478943552268,71.51881975648378,71.19326836158834
2022,ALB,800083.0,42,149.3364,349.3819547541055,335.1760470882116,357.95247149415013,55.29202228986443,47.0515299380058,46.656709871052485
2022,ALB,800084.0,33,135.16107,316.88809972780626,318.11591931897993,309.36096618800815,63.8744821174746,64.80125612328827,56.04497437068369
2022,ALB,800085.0,6,47.33396,371.5635338863683,394.77226992429956,398.42668085666185,66.59562196535505,40.725221043396125,83.4137407621571
2022,ALB,800087.0,40,131.61878,431.7914285487527,397.3500040298201,425.45558002959,84.63140468562985,62.566210867671714,68.9398434696362
2022,ALB,800088.0,6,55.666270000000004,301.0016609108352,290.3593062254755,311.4058111294865,75.15867006516223,31.663317722309714,61.4704745516327
