CNT,CNTSCHID,N_STU,sch_ESCS,sch_perf,sch_DISCLIM,sch_TEACHSUP,sch_BELONG,ols_slope,ols_intercept,low_ses,odds_breaking
ALB,800001.0,40,-0.7130555707429852,393.7760357954883,-0.23094296323350869,0.3408073826077683,0.4569021099152358,22.103978684570674,381.6065065352863,False,False
ALB,800002.0,36,-0.9961309893972399,364.37983329555544,0.09216500158412819,0.482889015600985,0.40750418440024067,22.103978684570674,381.6065065352863,False,False
ALB,800003.0,3,-0.1843,311.658,-0.6094666666666666,0.8516500000000001,-0.5959,22.103978684570674,381.6065065352863,False,False
ALB,800004.0,37,-0.3151305563528464,336.6778823926866,0.25067061095532317,0.41663625930494474,0.22100837124989287,22.103978684570674,381.6065065352863,False,False
ALB,800005.0,5,-1.3129833090201322,450.67943262680603,0.3100889403141346,0.6779662498117331,0.6010953878078753,22.103978684570674,381.6065065352863,True,True
ALB,800006.0,3,-0.05375757684609043,314.8076594567896,0.966,1.5558,0.3322,22.103978684570674,381.6065065352863,False,False
ALB,800007.0,28,-1.1916811216930272,370.8694223803036,0.18026020843390386,1.060955910595435,-0.10020674127367828,22.103978684570674,381.6065065352863,True,True
ALB,800008.0,25,-1.2498926103508885,336.3795190441998,0.16190341424533206,0.7729011678460788,0.24835266782363338,22.103978684570674,381.6065065352863,True,False
ALB,800009.0,24,-1.5382523844212603,328.99678529383266,-0.22617262073542588,0.4218674794624162,0.13852452787204472,22.103978684570674,381.6065065352863,True,False
ALB,800010.0,2,-1.9443000000000001,384.12020000000007,0.19485000000000002,0.8211,0.22955,22.103978684570674,381.6065065352863,True,True
ALB,800011.0,4,-1.4595351667993952,351.14686642259613,0.5492937782939791,0.2826623812017968,0.5403788612701794,22.103978684570674,381.6065065352863,True,False
ALB,800012.0,18,-1.7014239127745185,373.45774261214245,-0.0738713791350716,0.23164616710868688,0.0674932825615154,22.103978684570674,381.6065065352863,True,True
ALB,800013.0,8,-1.2084043398403759,380.982379833547,-0.07795580114102878,0.28907303942449414,0.4398233635720465,22.103978684570674,381.6065065352863,True,True
ALB,800014.0,40,-0.585454091797673,359.2007290056316,0.5881284120976819,0.9257397602619163,0.9576608700412288,22.103978684570674,381.6065065352863,False,False
ALB,800015.0,6,-0.8017863131860509,348.79278699629043,0.2983219385040874,0.9913956951869892,1.2503234763975444,22.103978684570674,381.6065065352863,False,False
ALB,800016.0,24,-1.1195725987463179,319.16874112014705,0.05480026660665129,-0.09567732565121687,0.45501219189616837,22.103978684570674,381.6065065352863,False,False
ALB,800017.0,10,-1.4916009871224485,303.5264843861547,0.11724891612961166,0.12472310980642873,-0.04518401117294991,22.103978684570674,381.6065065352863,True,False
ALB,800018.0,3,-1.3413494816150429,349.2708208370562,0.11133773655338389,1.5557999999999998,0.9357791904461007,22.103978684570674,381.6065065352863,True,False
ALB,800019.0,43,-0.8866558471501063,412.1403613812752,0.09450163149935174,0.8096040648768809,0.31257480038969865,22.103978684570674,381.6065065352863,False,False
ALB,800020.0,34,-0.28447405405405407,380.26206684684684,0.340569696969697,0.5115777777777778,0.41975911949685546,22.103978684570674,381.6065065352863,False,False
ALB,800021.0,9,-1.047351650098364,342.5722319208457,0.29454451437246787,0.9229631745620155,0.20307567190817072,22.103978684570674,381.6065065352863,False,False
ALB,800022.0,39,0.2579235822699352,369.1702378316687,-0.7507778821027535,-0.3201606556762224,-0.15842228096582045,22.103978684570674,381.6065065352863,False,False
ALB,800023.0,21,0.352507816091954,445.51491371647506,-0.6931682926829269,1.5557999999999998,0.722916064257028,22.103978684570674,381.6065065352863,False,False
ALB,800024.0,42,-1.333699724676267,366.4741082620722,-0.014215152733890568,0.5582169860419189,0.046752780805495615,22.103978684570674,381.6065065352863,True,True
ALB,800025.0,4,-1.3276810015458986,298.44255456100973,0.8025513474657877,-0.56905,-0.7610324878463145,22.103978684570674,381.6065065352863,True,False
ALB,800026.0,22,-1.0548580456661951,347.5847371020476,0.24169444444444446,0.44805294117647054,0.36185505033269094,22.103978684570674,381.6065065352863,False,False
ALB,800027.0,41,-0.5194927338703619,346.482934778785,0.10801084589705069,-0.45335444854896084,-0.08422314713284924,22.103978684570674,381.6065065352863,False,False
ALB,800028.0,39,-0.8792265696982787,352.4645804427694,0.021077621373028127,0.5460163219642113,0.3329466607537105,22.103978684570674,381.6065065352863,False,False
ALB,800029.0,24,-0.51585766447645,326.5086679004863,0.0824481963003318,-0.1484583502159865,0.47107187942613155,22.103978684570674,381.6065065352863,False,False
ALB,800031.0,16,-1.105975,302.84532916666666,-0.22735714285714287,0.20742857142857146,0.02774999999999998,22.103978684570674,381.6065065352863,False,False
ALB,800032.0,12,-1.3760896246371892,332.2551769858953,0.09209412802735656,-0.2701483925222277,-0.250929474702418,22.103978684570674,381.6065065352863,True,False
ALB,800033.0,8,-0.8166932659501105,291.4020621273143,-0.030464947511904514,-0.5319915646139477,-0.4032522285508456,22.103978684570674,381.6065065352863,False,False
ALB,800034.0,17,-1.1730143422257568,330.8761014562674,-0.3752581653755065,0.3468802514974938,0.059935475835993964,22.103978684570674,381.6065065352863,False,False
ALB,800035.0,5,-1.07572557167744,365.6124596490748,0.46078935068743443,1.0079130632595084,0.4552520717648726,22.103978684570674,381.6065065352863,False,False
ALB,800036.0,26,0.11820445359791343,411.0735107887823,0.40422180603126723,0.30705698736695614,0.5943043182884797,22.103978684570674,381.6065065352863,False,False
ALB,800038.0,45,-0.9150313012213471,366.0263363845657,0.19089294518492636,0.2028533711886689,0.18957322700702553,22.103978684570674,381.6065065352863,False,False
ALB,800039.0,26,-0.7900146403523339,345.1292350409058,-0.44322498857503645,0.4188762269809535,0.01927118108066124,22.103978684570674,381.6065065352863,False,False
ALB,800040.0,40,-0.189985,352.08484749999997,0.0026354838709677455,0.3220548387096775,0.3043833333333333,22.103978684570674,381.6065065352863,False,False
ALB,800041.0,2,-1.1269261423619836,312.2977363487413,,-0.5635,-0.3178,22.103978684570674,381.6065065352863,False,False
ALB,800042.0,20,0.7451276895193697,438.79841069585,0.6762300187717198,1.0235418906739588,0.5964467446279884,22.103978684570674,381.6065065352863,False,False
ALB,800043.0,4,-1.426175,323.0374583333333,0.11636666666666666,1.0038,0.3007333333333333,22.103978684570674,381.6065065352863,True,False
ALB,800044.0,5,-1.0609627177854706,399.0668861823412,-0.17283039396074865,0.49615000000000004,0.7858434594302968,22.103978684570674,381.6065065352863,False,False
ALB,800045.0,12,-0.8957616336306135,354.7630369048603,-0.3947712579723185,0.11971454650581238,0.45009333059382056,22.103978684570674,381.6065065352863,False,False
ALB,800046.0,3,0.14057784576621682,435.47004330102646,0.040336823849047534,1.0085921725493412,0.22719369298409703,22.103978684570674,381.6065065352863,False,False
ALB,800047.0,36,-1.4906357935435368,339.3392290073269,-0.15458649557129858,0.15104783456824014,0.5840243470686339,22.103978684570674,381.6065065352863,True,False
ALB,800048.0,27,-1.286758141795474,367.1303752897443,0.9835530846783572,0.6285065858021305,0.45377666086674207,22.103978684570674,381.6065065352863,True,True
ALB,800049.0,12,-0.7014410371792426,407.3454957446816,-0.09704006008652824,0.28163864577869663,0.5497127986694712,22.103978684570674,381.6065065352863,False,False
ALB,800050.0,36,0.21516344480580818,446.13436032337256,-0.10593066220352113,0.10331648518943606,0.4074293185718131,22.103978684570674,381.6065065352863,False,False
ALB,800051.0,42,-0.8462755833205962,367.7177497081777,0.3222914283168029,1.0108648223881511,0.31889577616325465,22.103978684570674,381.6065065352863,False,False
ALB,800052.0,2,-0.74505,288.30580000000003,-0.526,-1.3627,-0.0788,22.103978684570674,381.6065065352863,False,False
ALB,800053.0,3,-1.6188007991200477,383.0254369495294,1.14403285207794,1.5557999999999998,0.17472696474163024,22.103978684570674,381.6065065352863,True,True
